Ref,Val,Package,PosX,PosY,Rot,Side
"LED280","LED_ARGB","LED_RGB_0606",316.890400,-89.763600,0.000000,top
"LED281","LED_ARGB","LED_RGB_0606",320.700400,-89.662000,0.000000,top
"LED282","LED_ARGB","LED_RGB_0606",324.713600,-89.662000,0.000000,top
"LED283","LED_ARGB","LED_RGB_0606",328.371200,-90.525600,0.000000,top
"LED284","LED_ARGB","LED_RGB_0606",332.333600,-90.373200,0.000000,top
"LED285","LED_ARGB","LED_RGB_0606",336.397600,-90.830400,0.000000,top
"LED286","LED_ARGB","LED_RGB_0606",339.801200,-92.964000,0.000000,top
"LED287","LED_ARGB","LED_RGB_0606",343.712800,-93.167200,0.000000,top
"LED288","LED_ARGB","LED_RGB_0606",347.675200,-93.167200,0.000000,top
"LED289","LED_ARGB","LED_RGB_0606",319.938400,-106.273600,0.000000,top
"LED290","LED_ARGB","LED_RGB_0606",323.850000,-106.222800,0.000000,top
"LED291","LED_ARGB","LED_RGB_0606",327.863200,-106.172000,0.000000,top
"LED292","LED_ARGB","LED_RGB_0606",331.774800,-106.121200,0.000000,top
"LED293","LED_ARGB","LED_RGB_0606",335.838800,-106.984800,0.000000,top
"LED294","LED_ARGB","LED_RGB_0606",339.496400,-107.645200,0.000000,top
"LED295","LED_ARGB","LED_RGB_0606",343.408000,-107.238800,0.000000,top
"LED296","LED_ARGB","LED_RGB_0606",347.421200,-106.629200,0.000000,top
"LED297","LED_ARGB","LED_RGB_0606",351.434400,-106.222800,0.000000,top
"LED298","LED_ARGB","LED_RGB_0606",319.532000,-125.374400,0.000000,top
"LED299","LED_ARGB","LED_RGB_0606",321.360800,-128.828800,0.000000,top
"LED300","LED_ARGB","LED_RGB_0606",324.104000,-131.673600,0.000000,top
"LED301","LED_ARGB","LED_RGB_0606",326.085200,-135.178800,0.000000,top
"LED302","LED_ARGB","LED_RGB_0606",328.269600,-138.531600,0.000000,top
"LED303","LED_ARGB","LED_RGB_0606",331.114400,-141.173200,0.000000,top
"LED304","LED_ARGB","LED_RGB_0606",334.416400,-143.459200,0.000000,top
"LED305","LED_ARGB","LED_RGB_0606",337.718400,-145.643600,0.000000,top
"LED306","LED_ARGB","LED_RGB_0606",340.817200,-147.929600,0.000000,top
"LED307","LED_ARGB","LED_RGB_0606",354.126800,-156.819600,0.000000,top
"LED308","LED_ARGB","LED_RGB_0606",350.875600,-154.432000,0.000000,top
